@relation mydata
@attribute ï..PR.BH {'Alexandra Trivieri','Alyssa Cerino','Cynthia DupontLetourneau','Jaclyn Ronson','Madison Reid','Nicole Gilmore'}
@attribute PR.RM {' Sydney Fearon','Alexandra Trivieri','Alyssa Cerino','Cynthia DupontLetourneau','Deanna Hinds','Emma Kiesekamp','Jaclyn Ronson','Karyn Jolicoeur','Nicole Gilmore','Sydney Fearon'}
@attribute Player {'Alexandra Trivieri','Alyssa Cerino','Cynthia DupontLethourneau','Deanna Hinds','Emma Huff','Emma Kiesekamp','Jaclyn Ronson','Karyn Jolicoeur','Madison Reid','Nicole Gilmore','Sydney Fearon'}
@attribute Screen.Right.or.Left {'Off-Screen','Screen Left','Screen Right'}
@attribute Screen.Used {'No','Yes'}
@attribute Result {'2 FGM','2FGm','3 FGM','3FGm','Foul','Turnover'}
@data
'Nicole Gilmore','Alyssa Cerino','Nicole Gilmore','Screen Right','No','2FGm'
'Madison Reid','Emma Kiesekamp','Emma Kiesekamp','Screen Right','Yes','2FGm'
'Nicole Gilmore','Emma Kiesekamp','Nicole Gilmore','Screen Right','No','2 FGM'
'Alexandra Trivieri','Nicole Gilmore','Alyssa Cerino','Screen Left','Yes','3FGm'
'Alexandra Trivieri','Emma Kiesekamp','Alexandra Trivieri','Screen Right','Yes','2 FGM'
'Alexandra Trivieri','Emma Kiesekamp','Alyssa Cerino','Screen Left','Yes','3FGm'
'Cynthia DupontLetourneau','Emma Kiesekamp','Cynthia DupontLethourneau','Screen Left','Yes','2 FGM'
'Madison Reid','Emma Kiesekamp','Madison Reid','Screen Left','No','3FGm'
'Madison Reid','Sydney Fearon','Madison Reid','Screen Right','Yes','Turnover'
'Alexandra Trivieri','Alyssa Cerino','Karyn Jolicoeur','Screen Right','No','2FGm'
'Cynthia DupontLetourneau','Karyn Jolicoeur','Cynthia DupontLethourneau','Screen Left','No','2FGm'
'Jaclyn Ronson','Emma Kiesekamp','Jaclyn Ronson','Off-Screen','Yes','2 FGM'
'Madison Reid','Alyssa Cerino','Madison Reid','Screen Right','Yes','2FGm'
'Cynthia DupontLetourneau','Nicole Gilmore','Cynthia DupontLethourneau','Screen Right','Yes','2 FGM'
'Madison Reid','Alyssa Cerino','Alyssa Cerino','Screen Left','Yes','2FGm'
'Cynthia DupontLetourneau','Emma Kiesekamp','Nicole Gilmore','Off-Screen','Yes','3FGm'
'Nicole Gilmore','Emma Kiesekamp','Nicole Gilmore','Screen Left','No','3FGm'
'Madison Reid','Alyssa Cerino','Madison Reid','Off-Screen','Yes','2FGm'
'Madison Reid','Emma Kiesekamp','Madison Reid','Screen Right','No','2 FGM'
'Madison Reid','Emma Kiesekamp','Madison Reid','Screen Right','No','3FGm'
'Madison Reid','Emma Kiesekamp','Madison Reid','Screen Right','Yes','2FGm'
'Cynthia DupontLetourneau','Nicole Gilmore','Nicole Gilmore','Screen Right','Yes','3FGm'
'Alexandra Trivieri','Alyssa Cerino','Cynthia DupontLethourneau','Screen Right','Yes','2FGm'
'Madison Reid','Alyssa Cerino','Alexandra Trivieri','Screen Right','Yes','3FGm'
'Madison Reid','Emma Kiesekamp','Cynthia DupontLethourneau','Screen Right','Yes','3 FGM'
'Alexandra Trivieri','Alyssa Cerino','Alyssa Cerino','Screen Right','Yes','2FGm'
