RK,NAME,GP,FG,FG%,3PT,3PT%,OFF,DEF,REB,MRGN,AST,TO,STL,BLK,PF,PTS,WIN RATIO
1,Algoma,16,385-1043,36.9,92-344,26.7,12.9,26.7,39.6,-6.6,11.3,16,12.2,3.1,16.1,69.9,0.25
2,Brock,16,385-1020,37.7,102-377,27.1,14.9,29.3,44.2,-6.4,15.7,18.7,8.3,2.6,16.1,67.5,0.4375
3,Carleton,16,324-926,35,70-295,23.7,8.7,22.3,30.9,6.7,10.9,19.1,8.6,2.4,16.9,54.3,0.8125
4,Guelph,16,413-1082,38.2,115-391,29.4,14.6,24.1,38.8,1.1,15.3,19.8,10.9,3.8,18.3,72.1,0.3125
5,Lakehead,16,363-1017,35.7,100-372,26.9,12.4,22.2,34.6,2.1,11.8,18.6,7.3,3.1,15.2,64.8,0.75
6,Laurentian,16,390-1046,37.3,87-318,27.4,14,30.1,44.1,-8.1,13.9,15.9,8.8,3.4,16.8,66.6,0.375
7,Laurier,16,383-1084,35.3,91-344,26.5,13.3,27,40.3,-3.8,14.9,14,10,2.5,17.6,67.4,0.375
8,McMaster,16,367-1078,34,85-327,26,15.5,27.5,43,-0.3,12.8,20.9,9.2,2.5,16.8,61.8,0.875
9,Nipissing,16,422-1124,37.5,124-377,32.9,14.4,30.1,44.4,-9.3,14.8,13.4,8.1,2.9,12.9,71.8,0.188
10,Ottawa,16,324-977,33.2,97-355,27.3,10.4,22.6,33,9.4,11.4,18.7,7.7,2.5,14.7,57.2,0.875
11,Queen's,16,386-1082,35.7,80-313,25.6,12,22.4,34.4,10.3,13.9,17.7,12.3,4.1,16.5,61.6,0.563
12,Ryerson,16,318-967,32.9,100-336,29.8,10.8,22.4,33.3,14.1,11.9,18.7,7.9,1.5,17.4,55.1,0.875
13,Toronto,16,411-1078,38.1,98-364,26.9,15.5,29.4,44.9,-7.1,13.4,17.1,9.3,3.6,16.1,70.9,0.25
14,Waterloo,16,379-1041,36.4,101-371,27.2,13.6,27.3,40.9,-5.8,12.9,17.2,9.6,3.8,17.8,66.9,0.25
15,Western,16,407-1018,40,131-375,34.9,12.4,24.6,37.1,-7.2,10.9,15.9,10.9,2.2,15.3,69.8,0.313
16,Windsor,16,369-1019,36.2,76-272,27.9,10.3,22.6,32.9,7.8,10.9,15.7,8.1,1.5,16.9,62.6,0.625
17,York,16,402-1022,39.3,89-294,30.3,12.3,24.3,36.6,3,12.7,20,11.6,1.6,18.6,69.4,0.375
